City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
52.0,el doncello,90.0,CO,1635438792.0,74.0,1.6303102441241606,-75.0152344814054,81.55,2.37
53.0,faanui,61.0,PF,1635438792.0,81.0,-9.07069535299783,-151.25534876859186,78.69,7.94
54.0,hobart,75.0,AU,1635438717.0,93.0,-64.01214401616298,152.7752850601974,50.02,1.01
55.0,vallenar,38.0,CL,1635438793.0,21.0,-26.85376660840204,-74.95085811094835,87.01,9.53
56.0,tiksi,100.0,RU,1635438667.0,96.0,86.93468971717263,128.62460422378706,11.08,4.47
57.0,busselton,22.0,AU,1635438793.0,80.0,-50.789710892457194,95.28534651271087,42.04,8.55
58.0,ndele,60.0,CF,1635438793.0,65.0,9.212155091464226,20.554703108775243,81.27,2.35
59.0,haines junction,47.0,CA,1635438793.0,74.0,60.05214393818048,-140.09284714799418,22.95,3.44
60.0,jamestown,1.0,SH,1635438794.0,69.0,-26.087891260793427,-15.895246910320878,58.33,7.0
61.0,port alfred,100.0,ZA,1635438794.0,91.0,-55.93206919485722,36.26247252079105,68.18,13.27
62.0,kaeo,28.0,NZ,1635438794.0,96.0,-29.174220513789287,173.17725517529414,54.32,5.73
63.0,barrow,90.0,US,1635438794.0,86.0,71.11150944891634,-156.17291257028998,21.22,8.05
64.0,semey,0.0,KZ,1635438795.0,100.0,49.75368311141895,78.50473382828801,25.02,2.24
65.0,ilulissat,20.0,GL,1635438795.0,58.0,81.84260608243281,-44.105900272770896,21.22,3.44
66.0,namatanai,26.0,PG,1635438795.0,80.0,-2.4663323376062607,154.1154146168874,80.17,8.14
67.0,port hedland,0.0,AU,1635438796.0,69.0,-22.861209163235443,120.14456531258026,75.25,9.22
68.0,san quintin,0.0,MX,1635438796.0,39.0,16.635075014522855,-131.74730347230337,73.56,2.53
69.0,albany,61.0,AU,1635438795.0,76.0,-69.63164241454726,98.93834242915187,56.68,3.04
70.0,new norfolk,100.0,AU,1635438796.0,83.0,-70.02182125447527,135.20560047333834,49.66,4.0
71.0,san patricio,0.0,MX,1635438796.0,18.0,15.444612971675113,-106.91072538763787,81.01,18.21
72.0,quinabigan,93.0,PH,1635438797.0,90.0,13.005199683938216,121.52380986925647,76.59,7.81
73.0,bluff,4.0,NZ,1635438797.0,89.0,-80.6534001290911,154.2876051213346,51.58,3.27
74.0,tasiilaq,100.0,GL,1635438797.0,74.0,69.4501702691721,-42.29737614571269,32.16,9.15
75.0,braco do norte,52.0,BR,1635438798.0,66.0,-27.907259916784405,-49.21634856292849,85.55,3.69
76.0,torbay,90.0,CA,1635438798.0,83.0,45.793729947511764,-47.43223770772286,40.57,16.11
77.0,flagstaff,1.0,US,1635438785.0,42.0,36.77395426948027,-111.62820718624532,57.52,14.0
